"review_id","dependency_group_id","method_family","candidate_id","formula_hash","model_hash","scenario_set","member_trial_count","member_trial_ids","previous_resolution_status","manual_lineage_status","remaining_missing_fields","manual_review_basis","selection_trial_allowed","effective_trial_count_allowed_now","deflated_sharpe_allowed_now","training_allowed_now","validation_allowed_now","performance_metric_computed","formula_evaluation_performed","candidate_creation","candidate_promotion","broker_submission","order_execution","production_effect","trading_allowed","recommended_next_action","notes"
"manual_lineage_review_014","dep_group_014","other","monthly_rebalance_current","not_available","not_available","baseline","1","trial_monthly_baseline_current","unresolved","manual_review_required","formula_hash;model_hash","known_monthly_candidate_or_baseline_family","False","False","False","False","False","False","False","False","False","False","False","none","False","keep_blocked_or_human_source_review","Monthly baseline/candidate lineage is family-level and cannot be collapsed into independent ML v2 trials automatically."
"manual_lineage_review_015","dep_group_015","other","monthly_validation_baseline_family","not_available","not_available","baseline;stress","1","trial_monthly_baseline_validation_family","unresolved","manual_review_required","formula_hash;model_hash","known_monthly_candidate_or_baseline_family","False","False","False","False","False","False","False","False","False","False","False","none","False","keep_blocked_or_human_source_review","Monthly baseline/candidate lineage is family-level and cannot be collapsed into independent ML v2 trials automatically."
"manual_lineage_review_016","dep_group_016","other","no_min_history_relaxation_neutral_loss_guard","not_available","not_available","paper_diagnostic;baseline","1","trial_no_min_history_relaxation_neutral_loss_guard","unresolved","manual_review_required","formula_hash;model_hash","known_monthly_candidate_or_baseline_family","False","False","False","False","False","False","False","False","False","False","False","none","False","keep_blocked_or_human_source_review","Monthly baseline/candidate lineage is family-level and cannot be collapsed into independent ML v2 trials automatically."
"manual_lineage_review_017","dep_group_017","other","not_available","not_available","not_available","baseline;stress","1","trial_monthly_comparison_family","unresolved","manual_review_required","formula_hash;model_hash","known_monthly_candidate_or_baseline_family","False","False","False","False","False","False","False","False","False","False","False","none","False","keep_blocked_or_human_source_review","Monthly baseline/candidate lineage is family-level and cannot be collapsed into independent ML v2 trials automatically."
"manual_lineage_review_018","dep_group_018","other","not_available","not_available","not_available","cost_sensitivity","1","trial_fee_tax_slippage_expectancy","unresolved","unresolved","mixed","insufficient_pattern_evidence","False","False","False","False","False","False","False","False","False","False","False","none","False","keep_blocked_or_human_source_review","Existing local evidence is insufficient for lineage resolution."
"manual_lineage_review_019","dep_group_019","other","not_available","not_available","not_available","manual_review_only","3","trial_month_symbol_concentration;trial_us_quant_math_inventory;trial_candidate_trial_ledger_schema_plan","unresolved","unresolved","mixed","insufficient_pattern_evidence","False","False","False","False","False","False","False","False","False","False","False","none","False","keep_blocked_or_human_source_review","Existing local evidence is insufficient for lineage resolution."
"manual_lineage_review_020","dep_group_020","other","not_available","not_available","not_available","paper_review;paper_diagnostic","1","trial_monthly_candidate_trial_summary","unresolved","manual_review_required","formula_hash;model_hash","known_monthly_candidate_or_baseline_family","False","False","False","False","False","False","False","False","False","False","False","none","False","keep_blocked_or_human_source_review","Monthly baseline/candidate lineage is family-level and cannot be collapsed into independent ML v2 trials automatically."
"manual_lineage_review_021","dep_group_021","other","proxy_guard_exit_short_minus5_neutral_loss_guard55_min_history244","not_available","not_available","paper_review","1","trial_protected_candidate_blocked_order_reports","unresolved","manual_review_required","formula_hash;model_hash","known_monthly_candidate_or_baseline_family","False","False","False","False","False","False","False","False","False","False","False","none","False","keep_blocked_or_human_source_review","Monthly baseline/candidate lineage is family-level and cannot be collapsed into independent ML v2 trials automatically."
"manual_lineage_review_022","dep_group_022","other","proxy_guard_exit_short_minus5_neutral_loss_guard55_min_history244","not_available","not_available","paper_review;baseline","1","trial_protected_paper_review_min_history244","unresolved","manual_review_required","formula_hash;model_hash","known_monthly_candidate_or_baseline_family","False","False","False","False","False","False","False","False","False","False","False","none","False","keep_blocked_or_human_source_review","Monthly baseline/candidate lineage is family-level and cannot be collapsed into independent ML v2 trials automatically."
"manual_lineage_review_023","dep_group_023","other","sideways_recovery_preserving_guard","not_available","not_available","paper_diagnostic;baseline","1","trial_sideways_recovery_preserving_guard","unresolved","manual_review_required","formula_hash;model_hash","known_monthly_candidate_or_baseline_family","False","False","False","False","False","False","False","False","False","False","False","none","False","keep_blocked_or_human_source_review","Monthly baseline/candidate lineage is family-level and cannot be collapsed into independent ML v2 trials automatically."
"manual_lineage_review_summary","ALL","ALL","ALL","ALL","ALL","ALL","29","multiple","unresolved","BLOCK_MANUAL_REVIEW_INSUFFICIENT_FOR_TRAINING","mixed","pattern_review_only_no_source_rewrite","False","False","False","False","False","False","False","False","False","False","False","none","False","do_not_reopen_training_gate_without_human_source_lineage_decisions","manual_review_required=19; resolved_non_selection_overlay=1; unresolved=3"
