"trial_id","trial_category","method_family","formula_hash","model_hash","candidate_id","parameter_summary","source_command_if_available","source_report","scenario_set","attempted_date","decision","rejection_reason","entered_comparison","protected_candidate_related","paper_review_related","ml_related","production_effect","trading_allowed","raw_trial_count","effective_trial_count","notes"
"trial_ml_baseline_dataset_audit","ml_model","cross_sectional_ml","not_available","not_available","not_available","ML baseline feature/label dataset audit; no training in this loop","not_available","data/reports/ml_baseline_feature_label_dataset_audit.csv;data/reports/ml_baseline_feature_label_dataset_audit.md","baseline","not_available","report_only","not_available","False","False","True","True","none","False","not_available","not_available","ML Phase 1 report-family row; existing report says ready_for_training_scaffold but this loop did not train."
"trial_ml_baseline_training_scaffold","ml_model","cross_sectional_ml","not_available","not_available","not_available","paper-only baseline training scaffold report; no training in this loop","not_available","data/reports/ml_baseline_model_training_report.csv;data/reports/ml_baseline_model_training_report.md","baseline","not_available","report_only","not_available","False","False","True","True","none","False","not_available","not_available","Existing ML Phase 2 artifact row; no model was trained during this ledger bootstrap."
"trial_ml_baseline_validation_report","ml_model","cross_sectional_ml","not_available","not_available","not_available","paper-only baseline validation report; no validation rerun in this loop","not_available","data/reports/ml_baseline_validation_report.csv;data/reports/ml_baseline_validation_report.md","baseline","not_available","report_only","not_available","False","False","True","True","none","False","not_available","not_available","Existing ML Phase 3 artifact row; no OOS rerun or candidate comparison."
"trial_ml_v1_training_validation_family","ml_model","cross_sectional_ml","not_available","not_available","ml_model_v1_paper_only","paper-only technical-feature ML v1 report family; external_features_used=False per source reports","not_available","data/reports/ml_model_v1_training_report.csv;data/reports/ml_model_v1_validation_report.csv;data/reports/ml_model_v1_risk_report.md","baseline","not_available","report_only","not_available","False","False","True","True","none","False","not_available","not_available","ML v1 report-family row; no training, scoring, or order output in this loop."
"trial_ml_shadow_observation_final_packet","ml_model","cross_sectional_ml","not_available","not_available","ml_model_v1_paper_only","shadow scoring, observation, and final research packet reports only","not_available","data/reports/ml_shadow_scoring_report.csv;data/reports/ml_model_observation_status.csv;data/reports/ml_model_research_packet.csv","manual_review_only","not_available","report_only","not_available","False","False","True","True","none","False","not_available","not_available","Existing ML reports only; no shadow score generation or model scoring in this loop."
"trial_ml_vs_original_comparison","ml_model","cross_sectional_ml","not_available","not_available","ml_model_v1_paper_only","saved ML vs original comparison report; no comparison rerun","not_available","data/reports/ml_vs_original_model_comparison.csv;data/reports/ml_vs_original_model_comparison.md","baseline","not_available","report_only","not_available","True","True","True","True","none","False","not_available","not_available","Comparison/report-only row linking monthly baseline, protected candidate, and ML v1."
"trial_fee_tax_slippage_expectancy","manual_research","other","not_available","not_available","not_available","fee/tax/slippage adjusted expectancy report family","not_available","data/reports/fee_tax_slippage_adjusted_expectancy_report.csv;data/reports/fee_tax_slippage_adjusted_expectancy_report.md","cost_sensitivity","not_available","report_only","not_available","False","True","True","False","none","False","not_available","not_available","Cost realism report-only row; no order or strategy output change."
"trial_month_symbol_concentration","manual_research","other","not_available","not_available","not_available","month and symbol concentration report family","not_available","data/reports/month_symbol_concentration_report.csv;data/reports/month_symbol_concentration_report.md","manual_review_only","not_available","report_only","not_available","False","True","True","False","none","False","not_available","not_available","Concentration report-only row; no candidate modification."
"trial_external_source_inventory_v2","overlay","macro_event_overlay","not_available","not_available","not_available","ML v2 external research source inventory; disabled-by-default risk overlay only","not_available","data/reports/ml_v2_external_research_source_inventory.csv;data/reports/ml_v2_external_research_source_inventory.md","manual_review_only","not_available","design_only","not_available","False","False","True","False","none","False","not_available","not_available","External source design row; no fetch, API call, news/SNS scrape, scoring, or training."
"trial_us_quant_math_inventory","manual_research","other","not_available","not_available","not_available","US quant math model research inventory; paper-only modeling inventory","not_available","data/reports/us_quant_math_model_research_inventory.csv;data/reports/us_quant_math_model_research_inventory.md","manual_review_only","not_available","design_only","not_available","False","False","True","False","none","False","not_available","not_available","Research inventory row; no formula generation, sweep, or model selection."
"trial_formulaic_alpha_schema_plan","formulaic_alpha","formulaic_ohlcv","not_available","not_available","not_available","OHLCV-only formulaic alpha schema plan; allowed operators and leakage guards","not_available","data/reports/formulaic_alpha_schema_plan.csv;data/reports/formulaic_alpha_schema_plan.md","manual_review_only","not_available","design_only","not_available","False","False","True","False","none","False","not_available","not_available","Formulaic alpha schema row; no alpha candidates generated or evaluated."
"trial_candidate_trial_ledger_schema_plan","manual_research","other","not_available","not_available","not_available","candidate trial ledger schema plan; reserve raw/effective trial count placeholders","not_available","data/reports/candidate_trial_ledger_schema_plan.csv;data/reports/candidate_trial_ledger_schema_plan.md","manual_review_only","not_available","design_only","not_available","False","False","True","False","none","False","not_available","not_available","Ledger schema row; Deflated Sharpe not calculated."
"trial_formulaic_alpha_bootstrap_status","formulaic_alpha","formulaic_ohlcv","not_available","not_available","not_available","formulaic alpha bootstrap status from existing reports only","not_available","data/reports/formulaic_alpha_schema_plan.csv;data/reports/candidate_trial_ledger_schema_plan.csv","manual_review_only","not_available","blocked_no_ledger","ledger is being bootstrapped; no formula sweep allowed until ledger exists and is reviewed","False","False","True","False","none","False","not_available","not_available","Formulaic alpha family has schema/design rows only; no formulaic alpha candidate exists."
"trial_formulaic_alpha_sample_001","formulaic_alpha_sample","formulaic_ohlcv","fc64e48de1dacd70","not_available","not_available","formula=zscore(delta(close, 21)); sample_only_no_eval","not_available","data/reports/formulaic_alpha_sample_generation.csv;data/reports/formulaic_alpha_sample_generation.md","manual_review_only","not_available","sample_only_no_eval","not_available","False","False","True","False","none","False","6","not_available","CP-06 bounded formula string sample only; no feature values, evaluation metrics, training, candidate creation, comparison, or order output."
"trial_formulaic_alpha_sample_002","formulaic_alpha_sample","formulaic_ohlcv","e2bd30a293a37ee7","not_available","not_available","formula=rank(delta(close, 63)); sample_only_no_eval","not_available","data/reports/formulaic_alpha_sample_generation.csv;data/reports/formulaic_alpha_sample_generation.md","manual_review_only","not_available","sample_only_no_eval","not_available","False","False","True","False","none","False","6","not_available","CP-06 bounded formula string sample only; no feature values, evaluation metrics, training, candidate creation, comparison, or order output."
"trial_formulaic_alpha_sample_003","formulaic_alpha_sample","formulaic_ohlcv","ead367ea93980a3e","not_available","not_available","formula=zscore(delta(close, 126)); sample_only_no_eval","not_available","data/reports/formulaic_alpha_sample_generation.csv;data/reports/formulaic_alpha_sample_generation.md","manual_review_only","not_available","sample_only_no_eval","not_available","False","False","True","False","none","False","6","not_available","CP-06 bounded formula string sample only; no feature values, evaluation metrics, training, candidate creation, comparison, or order output."
"trial_formulaic_alpha_sample_004","formulaic_alpha_sample","formulaic_ohlcv","5b15756d0fbddc1e","not_available","not_available","formula=rank(zscore(delta(close, 5))); sample_only_no_eval","not_available","data/reports/formulaic_alpha_sample_generation.csv;data/reports/formulaic_alpha_sample_generation.md","manual_review_only","not_available","sample_only_no_eval","not_available","False","False","True","False","none","False","6","not_available","CP-06 bounded formula string sample only; no feature values, evaluation metrics, training, candidate creation, comparison, or order output."
"trial_formulaic_alpha_sample_005","formulaic_alpha_sample","formulaic_ohlcv","b169813beaaf19fc","not_available","not_available","formula=rank(rolling_std(returns, 20)); sample_only_no_eval","not_available","data/reports/formulaic_alpha_sample_generation.csv;data/reports/formulaic_alpha_sample_generation.md","manual_review_only","not_available","sample_only_no_eval","not_available","False","False","True","False","none","False","6","not_available","CP-06 bounded formula string sample only; no feature values, evaluation metrics, training, candidate creation, comparison, or order output."
"trial_formulaic_alpha_sample_006","formulaic_alpha_sample","formulaic_ohlcv","237ac7d0c28d86c6","not_available","not_available","formula=rank(correlation(returns, volume, 20)); sample_only_no_eval","not_available","data/reports/formulaic_alpha_sample_generation.csv;data/reports/formulaic_alpha_sample_generation.md","manual_review_only","not_available","sample_only_no_eval","not_available","False","False","True","False","none","False","6","not_available","CP-06 bounded formula string sample only; no feature values, evaluation metrics, training, candidate creation, comparison, or order output."
